season,week,game_id,home_team,away_team,home_score,away_score,roof,surface,temp,wind,home_total_yards,home_turnovers,home_touchdowns,home_epa_per_play,home_scoring_efficiency,home_completion_pct,away_total_yards,away_turnovers,away_touchdowns,away_epa_per_play,away_scoring_efficiency,away_completion_pct
2007,8,2007_08_JAX_TB,TB,JAX,23,24,outdoors,grass,84.0,11.0,385.0,3.0,3.0,-0.109471,4.6875,0.4419,219.0,0.0,2.0,-0.054593,3.2258,0.3889
2007,8,2007_08_WAS_NE,NE,WAS,52,7,outdoors,fieldturf,55.0,15.0,486.0,1.0,6.0,0.269154,7.7922,0.7381,224.0,4.0,2.0,-0.280195,3.5714,0.525
2007,8,2007_08_NO_SF,SF,NO,10,31,outdoors,grass,63.0,6.0,260.0,1.0,1.0,-0.079259,1.5152,0.4889,438.0,1.0,4.0,0.202551,6.0606,0.7949
2007,8,2007_08_GB_DEN,DEN,GB,13,19,outdoors,grass,67.0,0.0,332.0,1.0,1.0,0.074859,1.6393,0.5676,430.0,0.0,2.0,0.207565,3.6364,0.75
2007,9,2007_09_SF_ATL,ATL,SF,20,16,dome,fieldturf,,,286.0,1.0,2.0,-0.154143,3.0769,0.5385,251.0,4.0,1.0,-0.159782,1.5625,0.425
2007,9,2007_09_CIN_BUF,BUF,CIN,33,21,outdoors,astroplay,47.0,9.0,479.0,1.0,3.0,0.221751,4.2857,0.7143,299.0,1.0,3.0,0.102835,5.3571,0.6667
2007,9,2007_09_DEN_DET,DET,DEN,44,7,dome,fieldturf,,,376.0,1.0,3.0,0.175267,4.918,0.5,303.0,4.0,3.0,-0.268774,4.2254,0.5818
2007,9,2007_09_GB_KC,KC,GB,22,33,outdoors,grass,61.0,8.0,236.0,2.0,4.0,-0.05962,6.6667,0.5135,432.0,2.0,2.0,0.13075,3.2258,0.6857
2007,9,2007_09_SD_MIN,MIN,SD,35,17,dome,fieldturf,,,528.0,2.0,6.0,0.008257,9.0909,0.5652,,,,,,
2007,9,2007_09_JAX_NO,NO,JAX,41,24,dome,fieldturf,,,538.0,1.0,4.0,0.171238,5.3333,0.7,432.0,3.0,4.0,0.010665,6.8966,0.5714
2007,9,2007_09_WAS_NYJ,NYJ,WAS,20,23,outdoors,fieldturf,55.0,8.0,338.0,1.0,2.0,0.108872,2.8169,0.5111,433.0,1.0,1.0,0.194293,1.3699,0.48
2007,9,2007_09_ARI_TB,TB,ARI,17,10,outdoors,grass,78.0,10.0,350.0,0.0,2.0,-0.018279,2.5974,0.5806,195.0,2.0,1.0,-0.124797,2.381,0.3333
2007,9,2007_09_CAR_TEN,TEN,CAR,20,7,outdoors,grass,66.0,8.0,236.0,3.0,2.0,-0.092273,2.8986,0.5385,191.0,3.0,1.0,-0.227285,1.6393,0.4359
2007,9,2007_09_SEA_CLE,CLE,SEA,33,30,outdoors,grass,48.0,6.0,430.0,1.0,5.0,0.072138,6.6667,0.58,423.0,2.0,2.0,0.073569,2.6667,0.6383
2007,9,2007_09_NE_IND,IND,NE,20,24,dome,fieldturf,,,329.0,2.0,2.0,-0.036839,3.2787,0.5333,342.0,2.0,3.0,0.050956,4.8387,0.6176
2007,9,2007_09_HOU_OAK,OAK,HOU,17,24,outdoors,grass,70.0,4.0,,,,,,,359.0,1.0,3.0,0.136611,5.1724,0.5789
2007,9,2007_09_DAL_PHI,PHI,DAL,17,38,outdoors,grass,49.0,6.0,316.0,3.0,2.0,0.034326,2.9412,0.551,434.0,1.0,5.0,0.393791,8.7719,0.8
2007,9,2007_09_BAL_PIT,PIT,BAL,38,7,outdoors,dessograss,52.0,5.0,291.0,2.0,5.0,0.06615,7.9365,0.5833,104.0,3.0,1.0,-0.339692,1.9608,0.4324
2007,10,2007_10_ATL_CAR,CAR,ATL,13,20,outdoors,grass,63.0,6.0,235.0,2.0,0.0,-0.172606,0.0,0.4194,277.0,1.0,3.0,-0.064809,5.2632,0.6897
2007,10,2007_10_MIN_GB,GB,MIN,34,0,outdoors,grass,49.0,10.0,488.0,0.0,4.0,0.265743,5.0,0.7292,247.0,1.0,0.0,-0.154818,0.0,0.5517
2007,10,2007_10_DEN_KC,KC,DEN,11,27,outdoors,grass,69.0,15.0,284.0,4.0,1.0,-0.179723,1.4085,0.4694,327.0,1.0,2.0,0.0484,3.2787,0.5312
2007,10,2007_10_BUF_MIA,MIA,BUF,10,13,outdoors,grass,80.0,9.0,269.0,0.0,1.0,-0.074288,1.4706,0.5333,216.0,1.0,1.0,-0.031459,1.9608,0.48
2007,10,2007_10_STL_NO,NO,STL,29,37,dome,fieldturf,,,312.0,2.0,4.0,0.156132,7.8431,0.6579,,,,,,
2007,10,2007_10_CLE_PIT,PIT,CLE,31,28,outdoors,dessograss,40.0,3.0,403.0,1.0,3.0,0.104585,4.0,0.575,163.0,1.0,4.0,0.104744,7.5472,0.4571
2007,10,2007_10_JAX_TEN,TEN,JAX,13,28,outdoors,grass,62.0,11.0,292.0,3.0,1.0,-0.22496,1.5625,0.5333,262.0,1.0,4.0,0.001637,5.8824,0.5417
2007,10,2007_10_PHI_WAS,WAS,PHI,25,33,outdoors,grass,49.0,0.0,361.0,2.0,3.0,0.058415,4.1667,0.6389,379.0,2.0,5.0,0.197582,8.3333,0.625
2007,10,2007_10_CIN_BAL,BAL,CIN,7,21,outdoors,sportturf,50.0,4.0,272.0,6.0,1.0,-0.313888,1.8519,0.6389,326.0,0.0,0.0,-0.02805,0.0,0.6216
2007,10,2007_10_DET_ARI,ARI,DET,31,21,closed,grass,,,319.0,4.0,4.0,-0.156491,5.9701,0.6923,245.0,5.0,3.0,-0.296203,5.2632,0.6531
